Log_ID,Date,Equipment_ID_Name,Maintenance_Type,Technician,Hours_Run_Since_Last_Maint,Observation_Remarks,Parts_Replaced,Downtime_Hours,Next_Scheduled_Maint
ML-1031,2026-04-04,Control Valve V-105,Corrective,P. Singh,1512,Minor leakage observed,Seal,0.42,2026-07-03
ML-1032,2026-04-07,Pump P-102,Emergency,S. Sharma,247,Lubrication topped up,Seal,2.54,2026-07-06
ML-1033,2026-04-10,Centrifugal Pump P-101,Preventive,P. Singh,236,Lubrication topped up,Filter,2.93,2026-07-09
ML-1034,2026-04-13,Control Valve V-105,Predictive,P. Singh,452,Bearing noise detected,Seal,2.49,2026-07-12
ML-1035,2026-04-16,Control Valve V-105,Emergency,P. Singh,538,Normal operation,Bearing,2.73,2026-07-15
ML-1036,2026-04-19,Reciprocating Compressor C-301,Emergency,R. Kumar,522,Bearing noise detected,None,1.79,2026-07-18
ML-1037,2026-04-22,Control Valve V-105,Emergency,S. Sharma,673,Normal operation,Gasket,1.13,2026-07-21
ML-1038,2026-04-25,Gate Valve V-203,Preventive,P. Singh,502,Seal replaced,Seal,0.31,2026-07-24
ML-1039,2026-04-28,Centrifugal Pump P-101,Predictive,A. Verma,865,No abnormality found,Seal,2.91,2026-07-27
ML-1040,2026-05-01,Centrifugal Pump P-101,Emergency,P. Singh,636,Normal operation,Gasket,3.43,2026-07-30
ML-1041,2026-05-04,Control Valve V-105,Corrective,A. Verma,1185,Lubrication topped up,None,1.63,2026-08-02
ML-1042,2026-05-07,Pump P-102,Corrective,S. Sharma,1779,Lubrication topped up,Seal,1.58,2026-08-05
ML-1043,2026-05-10,Centrifugal Pump P-101,Emergency,R. Kumar,1653,Normal operation,None,0.59,2026-08-08
ML-1044,2026-05-13,Control Valve V-105,Emergency,A. Verma,450,No abnormality found,None,1.17,2026-08-11
ML-1045,2026-05-16,Reciprocating Compressor C-301,Predictive,N. Gupta,612,Lubrication topped up,Seal,0.85,2026-08-14
ML-1046,2026-05-19,Pump P-102,Corrective,R. Kumar,333,Pressure fluctuation noted,None,0.33,2026-08-17
ML-1047,2026-05-22,Pump P-102,Emergency,A. Verma,1589,Minor leakage observed,None,0.07,2026-08-20
ML-1048,2026-05-25,Control Valve V-105,Emergency,N. Gupta,1119,Seal replaced,None,0.69,2026-08-23
ML-1049,2026-05-28,Centrifugal Pump P-101,Preventive,N. Gupta,546,Lubrication topped up,Filter,1.27,2026-08-26
ML-1050,2026-05-31,Control Valve V-105,Preventive,P. Singh,240,Seal replaced,Filter,0.32,2026-08-29
ML-1051,2026-06-03,Centrifugal Pump P-101,Emergency,A. Verma,177,Bearing noise detected,None,0.75,2026-09-01
ML-1052,2026-06-06,Gate Valve V-203,Predictive,S. Sharma,1361,Pressure fluctuation noted,None,0.67,2026-09-04
ML-1053,2026-06-09,Reciprocating Compressor C-301,Corrective,S. Sharma,834,No abnormality found,None,0.22,2026-09-07
ML-1054,2026-06-12,Pump P-102,Corrective,S. Sharma,1940,Bearing noise detected,None,1.42,2026-09-10
ML-1055,2026-06-15,Control Valve V-105,Corrective,R. Kumar,85,Seal replaced,Gasket,1.57,2026-09-13
ML-1056,2026-06-18,Control Valve V-105,Predictive,P. Singh,1427,Bearing noise detected,None,0.6,2026-09-16
ML-1057,2026-06-21,Gate Valve V-203,Predictive,N. Gupta,199,Bearing noise detected,Bearing,0.05,2026-09-19
ML-1058,2026-06-24,Control Valve V-105,Corrective,A. Verma,493,Seal replaced,None,2.64,2026-09-22
ML-1059,2026-06-27,Control Valve V-105,Emergency,P. Singh,54,Pressure fluctuation noted,Gasket,2.77,2026-09-25
ML-1060,2026-06-30,Control Valve V-105,Corrective,A. Verma,872,No abnormality found,Gasket,0.21,2026-09-28
